case_id,replicate,start_key,repeat_label,switch_label,template,repeat_first_text,switch_first_text,repeat_second_text,switch_second_text,repeat_run_id,switch_run_id,first_text_identical_by_design,same_template_by_design,label_len_equal,second_text_len_equal,changed_char_count,nonlabel_char_diff_count,only_label_changed,repeat_first_text_len,repeat_second_text_len,switch_second_text_len,repeat_induction_growth_identity_created_count,switch_induction_growth_identity_created_count,diff_switch_minus_repeat__induction_growth_identity_created_count,supports__induction_growth_identity_created_count,repeat_hdb_structure_count,switch_hdb_structure_count,diff_switch_minus_repeat__hdb_structure_count,supports__hdb_structure_count,repeat_hdb_residual_diff_entry_count,switch_hdb_residual_diff_entry_count,diff_switch_minus_repeat__hdb_residual_diff_entry_count,supports__hdb_residual_diff_entry_count,repeat_hdb_diff_entry_with_memory_ref_count,switch_hdb_diff_entry_with_memory_ref_count,diff_switch_minus_repeat__hdb_diff_entry_with_memory_ref_count,supports__hdb_diff_entry_with_memory_ref_count,supports_design_control,supports_growth_core,supports_growth_strict,supports_core_pattern,supports_strict_pattern
H03,2,B,舟岚,衡阈,现在立即标记项目{label}。,现在立即标记项目舟岚。,现在立即标记项目舟岚。,现在立即标记项目舟岚。,现在立即标记项目衡阈。,paper_e02_switch_H03_repeat_B_r2_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H03_switch_B_r2_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,11,11,11,11.0,12.0,1.0,1,54.0,58.0,4.0,1,38.0,40.0,2.0,1,18.0,19.0,1.0,1,1,1,1,1,1
H03,3,A,衡阈,舟岚,现在立即标记项目{label}。,现在立即标记项目衡阈。,现在立即标记项目衡阈。,现在立即标记项目衡阈。,现在立即标记项目舟岚。,paper_e02_switch_H03_repeat_A_r3_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H03_switch_A_r3_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,11,11,11,11.0,12.0,1.0,1,54.0,58.0,4.0,1,38.0,40.0,2.0,1,18.0,19.0,1.0,1,1,1,1,1,1
H03,3,B,舟岚,衡阈,现在立即标记项目{label}。,现在立即标记项目舟岚。,现在立即标记项目舟岚。,现在立即标记项目舟岚。,现在立即标记项目衡阈。,paper_e02_switch_H03_repeat_B_r3_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H03_switch_B_r3_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,11,11,11,11.0,12.0,1.0,1,54.0,58.0,4.0,1,38.0,40.0,2.0,1,18.0,19.0,1.0,1,1,1,1,1,1
H04,1,A,溪笺,曜牒,请完整登记对象{label}。,请完整登记对象溪笺。,请完整登记对象溪笺。,请完整登记对象溪笺。,请完整登记对象曜牒。,paper_e02_switch_H04_repeat_A_r1_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H04_switch_A_r1_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,10,10,10,10.0,11.0,1.0,1,51.0,55.0,4.0,1,36.0,38.0,2.0,1,17.0,18.0,1.0,1,1,1,1,1,1
H04,1,B,曜牒,溪笺,请完整登记对象{label}。,请完整登记对象曜牒。,请完整登记对象曜牒。,请完整登记对象曜牒。,请完整登记对象溪笺。,paper_e02_switch_H04_repeat_B_r1_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H04_switch_B_r1_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,10,10,10,10.0,11.0,1.0,1,51.0,55.0,4.0,1,36.0,38.0,2.0,1,17.0,18.0,1.0,1,1,1,1,1,1
H04,2,A,溪笺,曜牒,请完整登记对象{label}。,请完整登记对象溪笺。,请完整登记对象溪笺。,请完整登记对象溪笺。,请完整登记对象曜牒。,paper_e02_switch_H04_repeat_A_r2_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H04_switch_A_r2_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,10,10,10,10.0,11.0,1.0,1,51.0,55.0,4.0,1,36.0,38.0,2.0,1,17.0,18.0,1.0,1,1,1,1,1,1
H04,2,B,曜牒,溪笺,请完整登记对象{label}。,请完整登记对象曜牒。,请完整登记对象曜牒。,请完整登记对象曜牒。,请完整登记对象溪笺。,paper_e02_switch_H04_repeat_B_r2_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H04_switch_B_r2_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,10,10,10,10.0,11.0,1.0,1,51.0,55.0,4.0,1,36.0,38.0,2.0,1,17.0,18.0,1.0,1,1,1,1,1,1
H04,3,A,溪笺,曜牒,请完整登记对象{label}。,请完整登记对象溪笺。,请完整登记对象溪笺。,请完整登记对象溪笺。,请完整登记对象曜牒。,paper_e02_switch_H04_repeat_A_r3_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H04_switch_A_r3_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,10,10,10,10.0,11.0,1.0,1,51.0,55.0,4.0,1,36.0,38.0,2.0,1,17.0,18.0,1.0,1,1,1,1,1,1
H04,3,B,曜牒,溪笺,请完整登记对象{label}。,请完整登记对象曜牒。,请完整登记对象曜牒。,请完整登记对象曜牒。,请完整登记对象溪笺。,paper_e02_switch_H04_repeat_B_r3_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H04_switch_B_r3_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,10,10,10,10.0,11.0,1.0,1,51.0,55.0,4.0,1,36.0,38.0,2.0,1,17.0,18.0,1.0,1,1,1,1,1,1
H05,1,A,川函,镜栈,现在同步核验编号{label}。,现在同步核验编号川函。,现在同步核验编号川函。,现在同步核验编号川函。,现在同步核验编号镜栈。,paper_e02_switch_H05_repeat_A_r1_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H05_switch_A_r1_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,11,11,11,11.0,12.0,1.0,1,54.0,58.0,4.0,1,38.0,40.0,2.0,1,18.0,19.0,1.0,1,1,1,1,1,1
H05,1,B,镜栈,川函,现在同步核验编号{label}。,现在同步核验编号镜栈。,现在同步核验编号镜栈。,现在同步核验编号镜栈。,现在同步核验编号川函。,paper_e02_switch_H05_repeat_B_r1_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H05_switch_B_r1_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,11,11,11,11.0,12.0,1.0,1,54.0,58.0,4.0,1,38.0,40.0,2.0,1,18.0,19.0,1.0,1,1,1,1,1,1
H05,2,A,川函,镜栈,现在同步核验编号{label}。,现在同步核验编号川函。,现在同步核验编号川函。,现在同步核验编号川函。,现在同步核验编号镜栈。,paper_e02_switch_H05_repeat_A_r2_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H05_switch_A_r2_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,11,11,11,11.0,12.0,1.0,1,54.0,58.0,4.0,1,38.0,40.0,2.0,1,18.0,19.0,1.0,1,1,1,1,1,1
H05,2,B,镜栈,川函,现在同步核验编号{label}。,现在同步核验编号镜栈。,现在同步核验编号镜栈。,现在同步核验编号镜栈。,现在同步核验编号川函。,paper_e02_switch_H05_repeat_B_r2_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H05_switch_B_r2_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,11,11,11,11.0,12.0,1.0,1,54.0,58.0,4.0,1,38.0,40.0,2.0,1,18.0,19.0,1.0,1,1,1,1,1,1
H05,3,A,川函,镜栈,现在同步核验编号{label}。,现在同步核验编号川函。,现在同步核验编号川函。,现在同步核验编号川函。,现在同步核验编号镜栈。,paper_e02_switch_H05_repeat_A_r3_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H05_switch_A_r3_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,11,11,11,11.0,12.0,1.0,1,54.0,58.0,4.0,1,38.0,40.0,2.0,1,18.0,19.0,1.0,1,1,1,1,1,1
H05,3,B,镜栈,川函,现在同步核验编号{label}。,现在同步核验编号镜栈。,现在同步核验编号镜栈。,现在同步核验编号镜栈。,现在同步核验编号川函。,paper_e02_switch_H05_repeat_B_r3_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H05_switch_B_r3_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,11,11,11,11.0,12.0,1.0,1,54.0,58.0,4.0,1,38.0,40.0,2.0,1,18.0,19.0,1.0,1,1,1,1,1,1
H06,1,A,原钥,霁岚,请再次记录节点{label}。,请再次记录节点原钥。,请再次记录节点原钥。,请再次记录节点原钥。,请再次记录节点霁岚。,paper_e02_switch_H06_repeat_A_r1_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H06_switch_A_r1_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,10,10,10,10.0,11.0,1.0,1,51.0,55.0,4.0,1,36.0,38.0,2.0,1,17.0,18.0,1.0,1,1,1,1,1,1
H06,1,B,霁岚,原钥,请再次记录节点{label}。,请再次记录节点霁岚。,请再次记录节点霁岚。,请再次记录节点霁岚。,请再次记录节点原钥。,paper_e02_switch_H06_repeat_B_r1_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H06_switch_B_r1_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,10,10,10,10.0,11.0,1.0,1,51.0,55.0,4.0,1,36.0,38.0,2.0,1,17.0,18.0,1.0,1,1,1,1,1,1
H06,2,A,原钥,霁岚,请再次记录节点{label}。,请再次记录节点原钥。,请再次记录节点原钥。,请再次记录节点原钥。,请再次记录节点霁岚。,paper_e02_switch_H06_repeat_A_r2_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H06_switch_A_r2_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,10,10,10,10.0,11.0,1.0,1,51.0,55.0,4.0,1,36.0,38.0,2.0,1,17.0,18.0,1.0,1,1,1,1,1,1
H06,2,B,霁岚,原钥,请再次记录节点{label}。,请再次记录节点霁岚。,请再次记录节点霁岚。,请再次记录节点霁岚。,请再次记录节点原钥。,paper_e02_switch_H06_repeat_B_r2_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H06_switch_B_r2_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,10,10,10,10.0,11.0,1.0,1,51.0,55.0,4.0,1,36.0,38.0,2.0,1,17.0,18.0,1.0,1,1,1,1,1,1
H06,3,A,原钥,霁岚,请再次记录节点{label}。,请再次记录节点原钥。,请再次记录节点原钥。,请再次记录节点原钥。,请再次记录节点霁岚。,paper_e02_switch_H06_repeat_A_r3_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H06_switch_A_r3_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,10,10,10,10.0,11.0,1.0,1,51.0,55.0,4.0,1,36.0,38.0,2.0,1,17.0,18.0,1.0,1,1,1,1,1,1
H06,3,B,霁岚,原钥,请再次记录节点{label}。,请再次记录节点霁岚。,请再次记录节点霁岚。,请再次记录节点霁岚。,请再次记录节点原钥。,paper_e02_switch_H06_repeat_B_r3_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H06_switch_B_r3_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,10,10,10,10.0,11.0,1.0,1,51.0,55.0,4.0,1,36.0,38.0,2.0,1,17.0,18.0,1.0,1,1,1,1,1,1
H07,1,A,禾策,炘阈,现在回填项目代号{label}。,现在回填项目代号禾策。,现在回填项目代号禾策。,现在回填项目代号禾策。,现在回填项目代号炘阈。,paper_e02_switch_H07_repeat_A_r1_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H07_switch_A_r1_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,11,11,11,11.0,12.0,1.0,1,54.0,58.0,4.0,1,38.0,40.0,2.0,1,18.0,19.0,1.0,1,1,1,1,1,1
H07,1,B,炘阈,禾策,现在回填项目代号{label}。,现在回填项目代号炘阈。,现在回填项目代号炘阈。,现在回填项目代号炘阈。,现在回填项目代号禾策。,paper_e02_switch_H07_repeat_B_r1_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H07_switch_B_r1_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,11,11,11,11.0,12.0,1.0,1,54.0,58.0,4.0,1,38.0,40.0,2.0,1,18.0,19.0,1.0,1,1,1,1,1,1
H07,2,A,禾策,炘阈,现在回填项目代号{label}。,现在回填项目代号禾策。,现在回填项目代号禾策。,现在回填项目代号禾策。,现在回填项目代号炘阈。,paper_e02_switch_H07_repeat_A_r2_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H07_switch_A_r2_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,11,11,11,11.0,12.0,1.0,1,54.0,58.0,4.0,1,38.0,40.0,2.0,1,18.0,19.0,1.0,1,1,1,1,1,1
H07,2,B,炘阈,禾策,现在回填项目代号{label}。,现在回填项目代号炘阈。,现在回填项目代号炘阈。,现在回填项目代号炘阈。,现在回填项目代号禾策。,paper_e02_switch_H07_repeat_B_r2_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H07_switch_B_r2_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,11,11,11,11.0,12.0,1.0,1,54.0,58.0,4.0,1,38.0,40.0,2.0,1,18.0,19.0,1.0,1,1,1,1,1,1
H07,3,A,禾策,炘阈,现在回填项目代号{label}。,现在回填项目代号禾策。,现在回填项目代号禾策。,现在回填项目代号禾策。,现在回填项目代号炘阈。,paper_e02_switch_H07_repeat_A_r3_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H07_switch_A_r3_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,11,11,11,11.0,12.0,1.0,1,54.0,58.0,4.0,1,38.0,40.0,2.0,1,18.0,19.0,1.0,1,1,1,1,1,1
H07,3,B,炘阈,禾策,现在回填项目代号{label}。,现在回填项目代号炘阈。,现在回填项目代号炘阈。,现在回填项目代号炘阈。,现在回填项目代号禾策。,paper_e02_switch_H07_repeat_B_r3_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H07_switch_B_r3_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,11,11,11,11.0,12.0,1.0,1,54.0,58.0,4.0,1,38.0,40.0,2.0,1,18.0,19.0,1.0,1,1,1,1,1,1
H08,1,A,芒函,青钥,请优先确认条目{label}。,请优先确认条目芒函。,请优先确认条目芒函。,请优先确认条目芒函。,请优先确认条目青钥。,paper_e02_switch_H08_repeat_A_r1_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H08_switch_A_r1_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,10,10,10,10.0,11.0,1.0,1,51.0,55.0,4.0,1,36.0,38.0,2.0,1,17.0,18.0,1.0,1,1,1,1,1,1
H08,1,B,青钥,芒函,请优先确认条目{label}。,请优先确认条目青钥。,请优先确认条目青钥。,请优先确认条目青钥。,请优先确认条目芒函。,paper_e02_switch_H08_repeat_B_r1_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H08_switch_B_r1_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,10,10,10,10.0,11.0,1.0,1,51.0,55.0,4.0,1,36.0,38.0,2.0,1,17.0,18.0,1.0,1,1,1,1,1,1
H08,2,A,芒函,青钥,请优先确认条目{label}。,请优先确认条目芒函。,请优先确认条目芒函。,请优先确认条目芒函。,请优先确认条目青钥。,paper_e02_switch_H08_repeat_A_r2_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H08_switch_A_r2_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,10,10,10,10.0,11.0,1.0,1,51.0,55.0,4.0,1,36.0,38.0,2.0,1,17.0,18.0,1.0,1,1,1,1,1,1
H08,2,B,青钥,芒函,请优先确认条目{label}。,请优先确认条目青钥。,请优先确认条目青钥。,请优先确认条目青钥。,请优先确认条目芒函。,paper_e02_switch_H08_repeat_B_r2_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H08_switch_B_r2_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,10,10,10,10.0,11.0,1.0,1,51.0,55.0,4.0,1,36.0,38.0,2.0,1,17.0,18.0,1.0,1,1,1,1,1,1
H08,3,A,芒函,青钥,请优先确认条目{label}。,请优先确认条目芒函。,请优先确认条目芒函。,请优先确认条目芒函。,请优先确认条目青钥。,paper_e02_switch_H08_repeat_A_r3_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H08_switch_A_r3_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,10,10,10,10.0,11.0,1.0,1,51.0,55.0,4.0,1,36.0,38.0,2.0,1,17.0,18.0,1.0,1,1,1,1,1,1
H08,3,B,青钥,芒函,请优先确认条目{label}。,请优先确认条目青钥。,请优先确认条目青钥。,请优先确认条目青钥。,请优先确认条目芒函。,paper_e02_switch_H08_repeat_B_r3_e02_label_switch_holdout_confirm_v1,paper_e02_switch_H08_switch_B_r3_e02_label_switch_holdout_confirm_v1,1,1,1,1,2,0,1,10,10,10,10.0,11.0,1.0,1,51.0,55.0,4.0,1,36.0,38.0,2.0,1,17.0,18.0,1.0,1,1,1,1,1,1
