family,branch,branch_label,project,query,target_fact,distractor_fact,ap_current_input,ap_energy_summary,ap_memory_target,ap_memory_trace,ap_cfs,ap_emotion,ap_action,ap_prompt_line,ap_field_score,ap_branch_ok,ap_prompt_chars,ap_top_memory_count,ap_activation_count,ap_feedback_count,summary_memory_hit,summary_wrong_hit,summary_field_score,summary_chars,rag_memory_hit,rag_wrong_top,rag_field_score,rag_result_count,rag_top_id,rag_top_score,ap_advantage_vs_summary,ap_advantage_vs_rag,contrast_ok,all_ok
F05,direct_memory_handoff,直接记忆交接,青灯偏好,青灯偏好现在对应的记录是什么？,青灯偏好是回复前先给一句简短结论,青灯偏好不是先输出长表格,1,1,1,1,1,1,1,1,8,1,287,2,1,0,1,0,1,38,1,0,2,1,rag_F05_target,8,7,6,1,1
F05,paraphrase_state_handoff,改写查询交接,青灯偏好,我喜欢你回答时先做什么,青灯偏好是回复前先给一句简短结论,青灯偏好不是先输出长表格,1,1,1,1,1,1,1,1,8,1,283,2,1,0,0,0,0,27,0,0,0,0,,0,8,8,1,1
F05,conflict_energy_selection,冲突能量选择,青灯偏好,青灯偏好旧记录也在，帮我判断现在该采用哪条。,青灯偏好是回复前先给一句简短结论,青灯偏好不是先输出长表格,0,1,1,1,1,1,1,1,7,1,293,2,1,0,1,1,1,47,0,1,1,1,rag_F05_distractor,11,6,6,1,1
F05,action_feedback_handoff,行动反馈交接,青灯偏好,围绕青灯偏好，下一步应该怎么处理？,青灯偏好是回复前先给一句简短结论,青灯偏好不是先输出长表格,1,1,1,1,1,1,1,1,8,1,289,2,2,1,1,0,1,38,1,0,2,1,rag_F05_target,8,7,6,1,1
F06,direct_memory_handoff,直接记忆交接,雾桥实验,雾桥实验现在对应的记录是什么？,雾桥实验的安全阈值是0.72,雾桥实验的旧阈值是0.41,1,1,1,1,1,1,1,1,8,1,267,2,1,0,1,0,1,36,1,0,2,1,rag_F06_target,8,7,6,1,1
F06,paraphrase_state_handoff,改写查询交接,雾桥实验,那个安全线后来设成多少,雾桥实验的安全阈值是0.72,雾桥实验的旧阈值是0.41,1,1,1,1,1,1,1,1,8,1,263,2,1,0,0,0,0,27,0,0,0,0,,0,8,8,1,1
F06,conflict_energy_selection,冲突能量选择,雾桥实验,雾桥实验旧记录也在，帮我判断现在该采用哪条。,雾桥实验的安全阈值是0.72,雾桥实验的旧阈值是0.41,0,1,1,1,1,1,1,1,7,1,273,2,1,0,1,1,1,46,0,1,1,1,rag_F06_distractor,12,6,6,1,1
F06,action_feedback_handoff,行动反馈交接,雾桥实验,围绕雾桥实验，下一步应该怎么处理？,雾桥实验的安全阈值是0.72,雾桥实验的旧阈值是0.41,1,1,1,1,1,1,1,1,8,1,269,2,2,1,1,0,1,36,1,0,2,1,rag_F06_target,8,7,6,1,1
F07,direct_memory_handoff,直接记忆交接,松针档案,松针档案现在对应的记录是什么？,松针档案的负责人是林岚,松针档案的临时负责人是赵野,1,1,1,1,1,1,1,1,8,1,261,2,1,0,1,0,1,33,1,0,2,1,rag_F07_target,8,7,6,1,1
F07,paraphrase_state_handoff,改写查询交接,松针档案,这份档案现在由谁负责,松针档案的负责人是林岚,松针档案的临时负责人是赵野,1,1,1,1,1,1,1,1,8,1,256,2,1,0,0,0,0,27,0,0,0,0,,0,8,8,1,1
F07,conflict_energy_selection,冲突能量选择,松针档案,松针档案旧记录也在，帮我判断现在该采用哪条。,松针档案的负责人是林岚,松针档案的临时负责人是赵野,0,1,1,1,1,1,1,1,7,1,267,2,1,0,1,1,1,43,0,1,1,1,rag_F07_distractor,11,6,6,1,1
F07,action_feedback_handoff,行动反馈交接,松针档案,围绕松针档案，下一步应该怎么处理？,松针档案的负责人是林岚,松针档案的临时负责人是赵野,1,1,1,1,1,1,1,1,8,1,263,2,2,1,1,0,1,33,1,0,2,1,rag_F07_target,8,7,6,1,1
F08,direct_memory_handoff,直接记忆交接,白塔清单,白塔清单现在对应的记录是什么？,白塔清单的第三项是重跑E13附件校验,白塔清单的旧第三项是整理截图,1,1,1,1,1,1,1,1,8,1,294,2,1,0,1,0,1,40,1,0,2,1,rag_F08_target,8,7,6,1,1
F08,paraphrase_state_handoff,改写查询交接,白塔清单,清单第三件事现在是什么,白塔清单的第三项是重跑E13附件校验,白塔清单的旧第三项是整理截图,1,1,1,1,1,1,1,1,8,1,290,2,1,0,0,0,0,27,0,0,0,0,,0,8,8,1,1
F08,conflict_energy_selection,冲突能量选择,白塔清单,白塔清单旧记录也在，帮我判断现在该采用哪条。,白塔清单的第三项是重跑E13附件校验,白塔清单的旧第三项是整理截图,0,1,1,1,1,1,1,1,7,1,300,2,1,0,1,1,1,51,0,1,1,1,rag_F08_distractor,12,6,6,1,1
F08,action_feedback_handoff,行动反馈交接,白塔清单,围绕白塔清单，下一步应该怎么处理？,白塔清单的第三项是重跑E13附件校验,白塔清单的旧第三项是整理截图,1,1,1,1,1,1,1,1,8,1,296,2,2,1,1,0,1,40,1,0,2,1,rag_F08_target,8,7,6,1,1
F09,direct_memory_handoff,直接记忆交接,澄海约定,澄海约定现在对应的记录是什么？,澄海约定要求报告里保留失败原因,澄海约定早期只要求给出成功率,1,1,1,1,1,1,1,1,8,1,291,2,1,0,1,0,1,37,1,0,2,1,rag_F09_target,8,7,6,1,1
F09,paraphrase_state_handoff,改写查询交接,澄海约定,我们对报告内容有什么额外要求,澄海约定要求报告里保留失败原因,澄海约定早期只要求给出成功率,1,1,1,1,1,1,1,1,8,1,290,2,1,0,0,0,0,27,0,0,0,0,,0,8,8,1,1
F09,conflict_energy_selection,冲突能量选择,澄海约定,澄海约定旧记录也在，帮我判断现在该采用哪条。,澄海约定要求报告里保留失败原因,澄海约定早期只要求给出成功率,0,1,1,1,1,1,1,1,7,1,297,2,1,0,1,1,1,48,0,1,1,1,rag_F09_distractor,11,6,6,1,1
F09,action_feedback_handoff,行动反馈交接,澄海约定,围绕澄海约定，下一步应该怎么处理？,澄海约定要求报告里保留失败原因,澄海约定早期只要求给出成功率,1,1,1,1,1,1,1,1,8,1,293,2,2,1,1,0,1,37,1,0,2,1,rag_F09_target,8,7,6,1,1
F10,direct_memory_handoff,直接记忆交接,赤松流程,赤松流程现在对应的记录是什么？,赤松流程先跑白箱探针再写正文,赤松流程旧版先写结论再补证据,1,1,1,1,1,1,1,1,8,1,291,2,1,0,1,0,1,36,1,0,2,1,rag_F10_target,8,7,6,1,1
F10,paraphrase_state_handoff,改写查询交接,赤松流程,这条流程的先后顺序怎么定,赤松流程先跑白箱探针再写正文,赤松流程旧版先写结论再补证据,1,1,1,1,1,1,1,1,8,1,288,2,1,0,0,0,0,27,0,0,0,0,,0,8,8,1,1
F10,conflict_energy_selection,冲突能量选择,赤松流程,赤松流程旧记录也在，帮我判断现在该采用哪条。,赤松流程先跑白箱探针再写正文,赤松流程旧版先写结论再补证据,0,1,1,1,1,1,1,1,7,1,297,2,1,0,1,1,1,47,0,1,1,1,rag_F10_distractor,12,6,6,1,1
F10,action_feedback_handoff,行动反馈交接,赤松流程,围绕赤松流程，下一步应该怎么处理？,赤松流程先跑白箱探针再写正文,赤松流程旧版先写结论再补证据,1,1,1,1,1,1,1,1,8,1,293,2,2,1,1,0,1,36,1,0,2,1,rag_F10_target,8,7,6,1,1
F11,direct_memory_handoff,直接记忆交接,月井偏好,月井偏好现在对应的记录是什么？,月井偏好是中文优先并保留必要英文键,月井偏好不是全英文输出,1,1,1,1,1,1,1,1,8,1,273,2,1,0,1,0,1,39,1,0,2,1,rag_F11_target,8,7,6,1,1
F11,paraphrase_state_handoff,改写查询交接,月井偏好,输出语言风格该怎么拿捏,月井偏好是中文优先并保留必要英文键,月井偏好不是全英文输出,1,1,1,1,1,1,1,1,8,1,269,2,1,0,0,0,0,27,0,0,0,0,,0,8,8,1,1
F11,conflict_energy_selection,冲突能量选择,月井偏好,月井偏好旧记录也在，帮我判断现在该采用哪条。,月井偏好是中文优先并保留必要英文键,月井偏好不是全英文输出,0,1,1,1,1,1,1,1,7,1,279,2,1,0,1,1,1,47,0,1,1,1,rag_F11_distractor,11,6,6,1,1
F11,action_feedback_handoff,行动反馈交接,月井偏好,围绕月井偏好，下一步应该怎么处理？,月井偏好是中文优先并保留必要英文键,月井偏好不是全英文输出,1,1,1,1,1,1,1,1,8,1,275,2,2,1,1,0,1,39,1,0,2,1,rag_F11_target,8,7,6,1,1
F12,direct_memory_handoff,直接记忆交接,竹影路线,竹影路线现在对应的记录是什么？,竹影路线的下一步是把强证据写入论文,竹影路线的旧下一步是扩大弱图表,1,1,1,1,1,1,1,1,8,1,295,2,1,0,1,0,1,39,1,0,2,1,rag_F12_target,8,7,6,1,1
F12,paraphrase_state_handoff,改写查询交接,竹影路线,这条路线接下来该做什么,竹影路线的下一步是把强证据写入论文,竹影路线的旧下一步是扩大弱图表,1,1,1,1,1,1,1,1,8,1,291,2,1,0,0,0,0,27,0,0,0,0,,0,8,8,1,1
F12,conflict_energy_selection,冲突能量选择,竹影路线,竹影路线旧记录也在，帮我判断现在该采用哪条。,竹影路线的下一步是把强证据写入论文,竹影路线的旧下一步是扩大弱图表,0,1,1,1,1,1,1,1,7,1,301,2,1,0,1,1,1,51,0,1,1,1,rag_F12_distractor,12,6,6,1,1
F12,action_feedback_handoff,行动反馈交接,竹影路线,围绕竹影路线，下一步应该怎么处理？,竹影路线的下一步是把强证据写入论文,竹影路线的旧下一步是扩大弱图表,1,1,1,1,1,1,1,1,8,1,297,2,2,1,1,0,1,39,1,0,2,1,rag_F12_target,8,7,6,1,1
